"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Nayak P.; Singha S.K.; Khetrapal M.; Sharma A.","Nayak, Pratyasa (58570089800); Singha, Subrata Kumar (25636533500); Khetrapal, Monica (57208080188); Sharma, Anil (57753199300)","58570089800; 25636533500; 57208080188; 57753199300","A Randomised Controlled Study Comparing Pulse Pressure Variation (PPV) and Pleth Variability Index (PVI) for Goal-Directed Fluid Therapy Intraoperatively in Patients Undergoing Intracranial (Supratentorial ICSOLs) Surgeries","2023","Romanian Journal of Anaesthesia and Intensive Care","30","1","","18","25","7","1","10.2478/rjaic-2023-0003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170424033&doi=10.2478%2frjaic-2023-0003&partnerID=40&md5=7285da53922e10dd0cb5f8163ee86a74","Fluid management in the perioperative period is a grey zone in clinical practice of late. Looking back on previous practices, static parameters were the only options. Now, dynamic parameters indicating fluid responsiveness have become a significant part of goal-directed fluid therapy (GDFT). However, the efficacy of this approach has yet to be established in neurosurgery cases where patients are already on lot of diuretics, thus making fluid management more challenging. The present study aims to determine the efficacy of the Pleth Variability Index (PVI) with pulse pressure variation (PPV) in guiding GDFT in patients undergoing neurosurgery for supra-tentorial intracranial space occupying lesions (ICSOLs), in the form of a randomised controlled trial. After randomisation, the patients were categorised into either PVI or PPV groups. Both received a baseline 2 ml/kg/h Lactated Ringer's (RL) infusion. Additional fluid boluses consisted of 250 ml of colloid infused over a 10 min period if PVI was > 15% or PPV was > 13% for at least five minutes. The primary outcome was to determine the serum lactate difference between preoperative and postoperative values, which could fairly predict fluid deficit leading to inadequate perfusion. A total of 74 patients were analysed. Both PVI- and PPV-guided GDFT strategies showed no significant difference in the postoperative lactate values, with a P-value of 0.18. Similarly, the mean total fluid administered, mean blood loss, length of CCU stay, and emetic and hypotension episodes also showed no significant differences among the groups with P-values of 0.41, 0.78, 0.25, 0.30, and 0.67, respectively. For patients undergoing neurosurgery (supratentorial ICSOLs), PVI seems to guide GDFT comparably to PPV regarding tissue perfusion and postoperative complications. However, both the parameters had low sensitivity and specificity, with an area of curve of 0.577 for PPV and 0.423 for PVI, as far as GDFT was concerned.  © 2023 Pratyasa Nayak et al., published by sciendo.","fluid management; goal-directed fluid therapy; Pleth Variability Index; pulse pressure variation; supratentorial tumours","analgesic agent; antibiotic agent; diuretic agent; fentanyl; hemoglobin; phenylephrine; Ringer lactate solution; sevoflurane; thiopental; vecuronium; adult; American Society of Anaesthesiologists score; area under the curve; arterial pressure; Article; bleeding; blood transfusion; body mass; brain surgery; brain tumor; controlled study; data analysis; diagnostic test accuracy study; end tidal carbon dioxide tension; endotracheal intubation; erythrocyte; female; fluid therapy; heart rate; hemodynamic parameters; human; hypotension; inotropism; intermittent positive pressure ventilation; lactate blood level; length of stay; major clinical study; male; neurosurgery; outcome assessment; oxygen saturation; perioperative period; postoperative complication; prediction; pulse oximetry; pulse pressure; randomization; randomized controlled trial; receiver operating characteristic; sensitivity and specificity; tidal volume; tissue perfusion; ultrasound; urine volume","Article","Final","","Scopus","2-s2.0-85170424033"
"Kan C.F.K.; Skaggs J.D.","Kan, Chin Fung Kelvin (55667900200); Skaggs, John D. (57207468430)","55667900200; 57207468430","Current Commonly Used Dynamic Parameters and Monitoring Systems for Perioperative Goal-Directed Fluid Therapy: A Review","2023","Yale Journal of Biology and Medicine","96","1","","107","123","16","6","10.59249/JOAP6662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151351616&doi=10.59249%2fJOAP6662&partnerID=40&md5=48ea6aa800349c834f298452e9a9f6b7","Goal-directed fluid therapy (GDFT) is usually recommended in patients undergoing major surgery and is essential in enhanced recovery after surgery (ERAS) protocols. This fluid regimen is usually guided by dynamic hemodynamic parameters and aims to optimize patients’ cardiac output to maximize oxygen delivery to their vital organs. While many studies have shown that GDFT benefits patients perioperatively and can decrease postoperative complications, there is no consensus on which dynamic hemodynamic parameters to guide GDFT with. Furthermore, there are many commercialized hemodynamic monitoring systems to measure these dynamic hemodynamic parameters, and each has its pros and cons. This review will discuss and review the commonly used GDFT dynamic hemodynamic parameters and hemodynamic monitoring systems. © 2023 Chin Fung Kelvin Kan.","aortic blood flow peak velocity variation; ClearSight; echocardiogram; enhanced recovery after surgery protocol; esophageal doppler; Flotrac; fluid resuscitation; Goal-directed fluid therapy; hemodynamic monitor; LiDCO; PiCCO; pleth variability index; pulse pressure variation; stroke volume variation","Fluid Therapy; Goals; Hemodynamics; Humans; Postoperative Complications; aortic flow; central venous pressure; echocardiography; esophageal doppler; fluid therapy; heart output; heart stroke volume; hemodynamic monitoring; hemodynamic parameters; human; mean arterial pressure; perioperative goal directed fluid therapy; pulse pressure; Review; Starling law; thermodilution; transesophageal echocardiography; transthoracic echocardiography; ultrasound; velocity; fluid therapy; hemodynamics; motivation; postoperative complication; procedures","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85151351616"
"Brasil I.A.; Silva J.C.P.L.; Pescatello L.S.; Farinatti P.","Brasil, Iedda A. (57212177867); Silva, José Cristiano P.L. (58982026300); Pescatello, Linda S. (7004269363); Farinatti, Paulo (6505819325)","57212177867; 58982026300; 7004269363; 6505819325","Central and peripheral mechanisms underlying postexercise hypotension: A scoping review","2024","Journal of Hypertension","42","5","","751","763","12","1","10.1097/HJH.0000000000003702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190095601&doi=10.1097%2fHJH.0000000000003702&partnerID=40&md5=42fc32f007b15655821790945ebf8ce9","Blood pressure (BP) reduction occurs after a single bout of exercise, referred to as postexercise hypotension (PEH). The clinical importance of PEH has been advocated owing to its potential contribution to chronic BP lowering, and as a predictor of responders to exercise training as an antihypertensive therapy. However, the mechanisms underlying PEH have not been well defined. This study undertook a scoping review of research on PEH mechanisms, as disclosed in literature reviews. We searched the PubMed, Web of Science, Scopus, Cumulated Index to Nursing and Allied Health Literature (CINAHL), Cochrane Library, and Sport Discus databases until January 2023 to locate 21 reviews - 13 narrative, four systematic with 102 primary trials, and four meta-analyses with 75 primary trials involving 1566 participants. We classified PEH mechanisms according to major physiological systems, as central (autonomic nervous system, baroreflex, cardiac) or peripheral (vascular, hemodynamic, humoral, and renal). In general, PEH has been related to changes in autonomic control leading to reduced cardiac output and/or sustained vasodilation. However, the role of autonomic control in eliciting PEH has been challenged in favor of local vasodilator factors. The contribution of secondary physiological outcomes to changes in cardiac output and/or vascular resistance during PEH remains unclear, especially by exercise modality and population (normal vs. elevated BP, young vs. older adults). Further research adopting integrated approaches to investigate the potential mechanisms of PEH is warranted, particularly when the magnitude and duration of BP reductions are clinically relevant. (PROSPERO CRD42021256569). © 2024 Lippincott Williams and Wilkins. All rights reserved.","autonomic nervous system; blood pressure; cardiac output; cardiovascular physiology; peripheral vascular resistance","Aged; Blood Pressure; Exercise; Humans; Hypertension; Hypotension; Post-Exercise Hypotension; serotonin; aerobic exercise; blood pressure variability; blood volume; brain blood flow; cardiac index; carotid-femoral pulse wave velocity; diastolic blood pressure; dynamic exercise; exercise intensity; female; flow-mediated dilation test; heart afterload; heart muscle contractility; heart output; heart preload; heart rate variability; heart stroke volume; human; hypertension; isometric exercise; male; parasympathetic tone; post exercise hypotension; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; resistance training; Review; sympathetic tone; systematic review; systemic vascular resistance; systolic blood pressure; vasodilatation; venous return; aged; blood pressure; exercise; hypertension; hypotension; physiology","Review","Final","","Scopus","2-s2.0-85190095601"
"Ma Q.; Ding C.; Jiang F.; Hu G.; Wu J.; Zhang X.","Ma, Qiang (57223158151); Ding, Caiyun (58516313700); Jiang, Feng (55854034000); Hu, Guobin (56529974100); Wu, Jingyi (56063245000); Zhang, Xia (57192505128)","57223158151; 58516313700; 55854034000; 56529974100; 56063245000; 57192505128","RESPIRATORY VARIABILITY OF VALVULAR PEAK SYSTOLIC VELOCITY AS A NEW INDICATOR OF FLUID RESPONSIVENESS IN PATIENTS WITH SEPTIC SHOCK","2023","Shock","60","1","","11","17","6","1","10.1097/SHK.0000000000002142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166388357&doi=10.1097%2fSHK.0000000000002142&partnerID=40&md5=a1c17fd56fe4967d717b5443384f12a9","The aim of this study was to evaluate the reliability and feasibility of pulse Doppler measurements of peak velocity respiratory variability of mitral and tricuspid valve rings during systole as new dynamic indicators of fluid responsiveness in patients with septic shock. Methods: Transthoracic echocardiography (TTE) was performed to measure the respiratory variability of aortic velocity-time integral (ΔVTI), respiratory variability of tricuspid annulus systolic peak velocity (ΔRVS), respiratory variability of mitral annulus systolic peak velocity (ΔLVS), and other related indicators. Fluid responsiveness was defined as a 10% increase in cardiac output after fluid expansion, assessed by TTE. Results: A total of 33 patients with septic shock were enrolled in this study. First, there was no significant difference in the population characteristics between the fluid responsiveness positive group (n = 17) and the fluid responsiveness negative group (n = 16) (P > 0.05). Second, Pearson correlation test showed that ΔRVS, ΔLVS, and TAPSE with the relative increase in cardiac output after fluid expansion (R = 0.55, P = 0.001; R = 0.40, P = 0.02; R = 0.36, P = 0.041). Third, multiple logistic regression analysis demonstrated that ΔRVS, ΔLVS, and TAPSE were significantly correlated with fluid responsiveness in patients with septic shock. Fourth, receiver operating characteristic (ROC) curve analysis revealed that ΔVTI, ΔLVS, ΔRVS, and TAPSE had good predictive ability for fluid responsiveness in patients with septic shock. The area under the curve (AUC) of ΔVTI, ΔLVS, ΔRVS, and TAPSE for predicting fluid responsiveness was 0.952, 0.802, 0.822, and 0.713, respectively. The sensitivity (Se) values were 1.00, 0.73, 0.81, and 0.83, whereas the specificity (Sp) values were 0.84, 0.91, 0.76, and 0.67, respectively. The optimal thresholds were 0.128, 0.129, 0.130, and 13.9 mm, respectively. Conclusion: Tissue Doppler ultrasound evaluation of respiratory variability of mitral and tricuspid annular peak systolic velocity could be a feasible and reliable method for the simple assessment of fluid responsiveness in patients with septic shock. © Wolters Kluwer Health, Inc. All rights reserved.","Fluid responsiveness; ICU; intensive care unit; respiratory variability of valvular peak systolic velocity; septic shock","Cardiac Output; Fluid Therapy; Humans; Prospective Studies; Reproducibility of Results; Shock, Septic; Systole; inotropic agent; midazolam; remifentanil; sedative agent; vasoactive agent; aged; Article; clinical article; clinical assessment; clinical evaluation; cohort analysis; controlled study; diastolic blood pressure; echocardiography; feasibility study; female; heart left ventricle function; heart left ventricle outflow tract; heart output; hemodynamic parameters; human; intensive care unit; liquid; lung infection; male; mean arterial pressure; mitral annulus; mitral valve; mortality rate; observational study; peak systolic velocity; perceptive discrimination; population parameters; positive end expiratory pressure ventilation; predictive value; prospective study; reliability; Richmond Agitation Sedation Scale; sedation; sensitivity and specificity; septic shock; systole; systolic blood pressure; tidal volume; tissue Doppler imaging; transthoracic echocardiography; tricuspid annular plane systolic excursion; tricuspid valve; urine volume; fluid therapy; procedures; reproducibility; septic shock","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85166388357"
"Berger D.; Werner Moller P.; Bachmann K.F.","Berger, David (56637740500); Werner Moller, Per (57213196294); Bachmann, Kaspar F. (57210798236)","56637740500; 57213196294; 57210798236","Cardiopulmonary interactions—which monitoring tools to use?","2023","Frontiers in Physiology","14","","1234915","","","","0","10.3389/fphys.2023.1234915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168700385&doi=10.3389%2ffphys.2023.1234915&partnerID=40&md5=571aab2989addc0d3e9204f05f9d7fbd","Heart-lung interactions occur due to the mechanical influence of intrathoracic pressure and lung volume changes on cardiac and circulatory function. These interactions manifest as respiratory fluctuations in venous, pulmonary, and arterial pressures, potentially affecting stroke volume. In the context of functional hemodynamic monitoring, pulse or stroke volume variation (pulse pressure variation or stroke volume variability) are commonly employed to assess volume or preload responsiveness. However, correct interpretation of these parameters requires a comprehensive understanding of the physiological factors that determine pulse pressure and stroke volume. These factors include pleural pressure, venous return, pulmonary vessel function, lung mechanics, gas exchange, and specific cardiac factors. A comprehensive knowledge of heart-lung physiology is vital to avoid clinical misjudgments, particularly in cases of right ventricular (RV) failure or diastolic dysfunction. Therefore, when selecting monitoring devices or technologies, these factors must be considered. Invasive arterial pressure measurements of variations in breath-to-breath pressure swings are commonly used to monitor heart-lung interactions. Echocardiography or pulmonary artery catheters are valuable tools for differentiating preload responsiveness from right ventricular failure, while changes in diastolic function should be assessed alongside alterations in airway or pleural pressure, which can be approximated by esophageal pressure. In complex clinical scenarios like ARDS, combined forms of shock or right heart failure, additional information on gas exchange and pulmonary mechanics aids in the interpretation of heart-lung interactions. This review aims to describe monitoring techniques that provide clinicians with an integrative understanding of a patient’s condition, enabling accurate assessment and patient care. Copyright © 2023 Berger, Werner Moller and Bachmann.","ECMO - extracorporeal membrane oxygenation; heart-lung interactions; monitoring; right ventricular failure; volume responsiveness","cardiopulmonary function; cardiopulmonary interaction; central venous pressure; diastole; echocardiography; heart afterload; heart atrium pressure; heart function; heart output; heart preload; heart right ventricle ejection fraction; heart right ventricle failure; heart right ventricle function; human; jugular vein; oximetry; palpation; patient care; pulmonary artery catheterization; pulse pressure; Short Survey; transpulmonary thermodilution; ultrasound; venous return","Short survey","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85168700385"
"Turoni C.J.; Benvenuto S.; Marañón R.O.; Chahla R.; de Bruno M.P.","Turoni, Claudio Joo (6507941959); Benvenuto, Silvia (57226638909); Marañón, Rodrigo O. (6506223615); Chahla, Rossana (57189261664); de Bruno, María Peral (56111840500)","6507941959; 57226638909; 6506223615; 57189261664; 56111840500","Vascular and autonomic function as early predictive biomarkers of the progression to gestational hypertension","2023","European Journal of Obstetrics and Gynecology and Reproductive Biology: X","20","","100236","","","","0","10.1016/j.eurox.2023.100236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170544575&doi=10.1016%2fj.eurox.2023.100236&partnerID=40&md5=78baed12cf4b15df4685047a5cf5b4d0","Background: The changes in endothelial function, arterial stiffness, and heart rate variability (HRV) produced in the first trimester of pregnancy in women who develop gestational hypertension (GH) are still being investigated. Objective: to evaluate the HVR, endothelial function, and arterial stiffness changes during the first trimester of pregnancy and their relationship with the development of GH Methods: A group of women normotensive during the first trimester (n = 43), who later did (GH; n = 11) or did not (no-GH; n = 32) develop GH in that pregnancy, were enrolled. In the first trimester, endothelial function and arterial stiffness were evaluated through photoplethysmography. HRV, parasympathetic (PNS), and sympathetic (SNS) indexes were measured in a 5-minute continuous electrocardiogram record at rest sitting. The Griess reaction measured urinary nitrite excretion (NOx). Results: Systolic blood pressure (SBP) values were higher in GH (no-GH: 105.8 ± 2.0 vs. GH: 112.7 ± 3.0 mmHg; p < 0.05). Endothelial function was decreased, and arterial stiffness was increased in GH. Only in GH the arterial stiffness was correlated with SBP (Pearson's r: 0.5594; 95%CI: 0.06106–0.8681; p < 0.05). In HRV, GH decreased low-frequency power and the ratio SD2/SD1. The inhibition of PNS was lower in GH. The NOx was reduced in GH (no-GH: 3.4 ± 0.4 vs. GH: 0.3 ± 0.1 μM/L; p < 0.001). NOx was correlated negatively with the SNS index only in GH. Conclusions: Developed GH is preceded early in pregnancy by endothelial dysfunction and increased arterial stiffness. In this context, there are SNS-PNS interrelation modifications with less inhibition of PNS. © 2023 The Authors","First trimester of pregnancy; Gestational hypertension; Vascular function","biological marker; nitrite; adult; arterial stiffness; Article; autonomic nervous system function; blood vessel function; clinical article; controlled study; cross-sectional study; disease exacerbation; endothelial dysfunction; female; first trimester pregnancy; heart rate variability; hemodynamic parameters; human; index finger; maternal hypertension; parasympathetic nerve; photoelectric plethysmography; predictive value; pulse wave; R wave; RR interval; second trimester pregnancy; sympathetic nerve; systolic blood pressure; urinary excretion; urine sampling","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85170544575"
"Inês Gonzáles A.; Lavarda do Nascimento G.; da Silva A.; Bernardo-Filho M.; da Cunha de Sá-Caputo D.; Sonza A.","Inês Gonzáles, Ana (58395919800); Lavarda do Nascimento, Gabriella (58393570300); da Silva, Amanda (57211638112); Bernardo-Filho, Mario (7006430305); da Cunha de Sá-Caputo, Danúbia (57207912861); Sonza, Anelise (54973915100)","58395919800; 58393570300; 57211638112; 7006430305; 57207912861; 54973915100","Whole-body vibration exercise in the management of cardiovascular diseases: A systematic review","2023","Journal of Bodywork and Movement Therapies","36","","","20","29","9","1","10.1016/j.jbmt.2023.04.057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163287549&doi=10.1016%2fj.jbmt.2023.04.057&partnerID=40&md5=6b509ae14f426b83448151ec9ef60106","Background: Cardiovascular diseases (CVDs) are an important public health problem, representing about 45% of deaths in the world. Its management is linked to medications, changes in lifestyle, and physical exercise, with the whole-body vibration exercises (WBV) being a promising therapeutic resource. This study aims to investigate the effects of WBV in isolation or associated with other types of exercises in the management of CVDs. Methods: A systematic review following the PRISMA guidelines and registered on the PROSPERO platform was carried out. The search took place in the databases PubMed, Cochrane, PEDro, Lilacs, and Science Direct, from the beginning of the databases until January 2021. Descriptors related to WBV and CVD were used. The selected studies were assessed for quality, risk of bias, and level of evidence. Results: In all, 84 studies were identified, and of these, three were included. The intervention protocols used were analyzed, in addition to the effects of WBV on hemodynamic, cardiovascular, vascular/arterial, and muscle parameters. Conclusion: The use of different WBV protocols, in isolation, in the improvement of the parameters mentioned above in individuals with CVD is plausible, with significant responses acutely or chronically and can be considered as a safe and effective training resource. © 2023 Elsevier Ltd","Heart diseases; Hypertension; Infarction; Whole body vibration","Cardiovascular Diseases; Exercise; Exercise Therapy; Humans; Physical Therapy Modalities; Vibration; augmentation index; cardiovascular disease; diastolic blood pressure; heart rate; heart rate variability; human; mean arterial pressure; muscle strength; pulse pressure; pulse wave velocity; Review; systematic review; systemic vascular resistance; systolic blood pressure; whole body vibration training; drug therapy; exercise; kinesiotherapy; physiotherapy; procedures; vibration","Review","Final","","Scopus","2-s2.0-85163287549"
"Ferreira M.J.; do Carmo Silva G.; Bernardes N.; de Araujo A.A.; da Silva Dias D.; Irigoyen M.C.; De Angelis K.","Ferreira, Maycon J. (58748285300); do Carmo Silva, Gabriel (57892248800); Bernardes, Nathalia (21742076400); de Araujo, Amanda A. (57214989052); da Silva Dias, Danielle (54419739100); Irigoyen, Maria C. (35601129800); De Angelis, Kátia (6602624765)","58748285300; 57892248800; 21742076400; 57214989052; 54419739100; 35601129800; 6602624765","Baroreceptor Deafferentation Impairs the Exercise Training -and Drug Treatment-Induced Adaptations in a Hypertensive Model of Menopause","2022","FASEB journal : official publication of the Federation of American Societies for Experimental Biology","36","","","","","","0","10.1096/fasebj.2022.36.S1.R5510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138127485&doi=10.1096%2ffasebj.2022.36.S1.R5510&partnerID=40&md5=4e48d4ae09c898fe0c97e2943d2cc997","AIM AND HYPOTHESIS: Here, we investigate the effect of SAD on physical and hemodynamic adaptations after long-term treatment with Enalapril and concurrent exercise training (CET) in a model of menopause. We hypothesized that the beneficial effects of exercise training combined with antihypertensive drug therapy would be reduced after the chronic absence of arterial baroreceptor reflex. METHODS: Female spontaneously hypertensive rats (90 days old) were distributed (7-8 animals/group) into ovariectomized groups: trained treated with E (OTE) and SAD trained treated with E (SAD-OTE). SAD procedure was performed at initial of protocol. Ovariectomy consisted of bilateral removal of the ovaries. Enalapril (3mg/kg) was administrated orally in drinking water. CET (40-60% maximal capacity) consisted of aerobic (motor treadmill) followed by resistance exercises (ladder adapted to rats), 3 days/wk for 8 weeks. Heart rate and BP variability were analyzed using signals of direct recording of BP. Vasopressor system was evaluated by sequential injection of a vasopressin receptor antagonist, losartan and hexamethonium. RESULTS: Treadmill performance was reduced in SAD group (p<0.001). There were no differences for systolic, diastolic, and mean blood pressure (BP) between groups. SAD increased resting heart rate (p<0.001). In addition, SAD-OTE group showed lower variance of pulse interval (ms²) (49.2±22.5 vs. OTE: 96.5±49.6), as well as higher systolic BP variance (mmHg²) (84.1±36.9 vs. OTE: 34.2±9.0) and low-frequency band (mmHg²) (11.2±4.9 vs. OTE: 6.5±3.4). BP reduction (mmHg) after vasopressin receptor antagonist (-20.5±10.5) and hexamethonium (-87.2±17.7) was higher in SAD-OTE (vs. OTE: -6.9±4.6 and -56.0±10.4, respectively). CONCLUSION: Despite similar BP control, drug therapy-and training-induced adaptations are blunted in absence of baroreceptor deafferentation, suggesting that this mechanism play a crucial role to maintain physical and cardiovascular autonomic benefits. © FASEB.","","","Article","Final","","Scopus","2-s2.0-85138127485"
"Kim E.; Lim J.A.; Choi C.H.; Lee S.Y.; Kwak S.; Kim J.","Kim, Eugene (57203552434); Lim, Jung A. (57212528924); Choi, Chang Hyuk (35268026100); Lee, So Young (57191504799); Kwak, Seongmi (58177534800); Kim, Jonghae (57865562800)","57203552434; 57212528924; 35268026100; 57191504799; 58177534800; 57865562800","Assessment of the changes in cardiac sympathetic nervous activity using the pupil size changes measured in seated patients whose stellate ganglion is blocked by interscalene brachial plexus block","2023","Korean Journal of Anesthesiology","76","2","","116","127","11","2","10.4097/kja.22324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152155327&doi=10.4097%2fkja.22324&partnerID=40&md5=bfbdc9db5abf4b25e95df35b30972340","Background: As a side effect of interscalene brachial plexus block (ISBPB), stellate ganglion block (SGB) causes reductions in pupil size (Horner’s syndrome) and cardiac sympathetic nervous activity (CSNA). Reduced CSNA is associated with hemodynamic instability when patients are seated. Therefore, instantaneous measurements of CSNA are import-ant in seated patients presenting with Horner’s syndrome. However, there are no effective tools to measure real-time CSNA intraoperatively. To evaluate the usefulness of pupillom-etry in measuring CSNA, we investigated the relationship between pupil size and CSNA. Methods: Forty-two patients undergoing right arthroscopic shoulder surgery under ISB-PB were analyzed. Pupil diameters were measured at 30 Hz for 2 s using a portable pupil-lometer. Bilateral pupil diameters and CSNA (natural-log-transformed low-frequency power [0.04–0.15 Hz] of heart rate variability [lnLF]) were measured before ISBPB (pre-ISBPB) and 15 min after transition to the sitting position following ISBPB (post-sit-ting). Changes in the pupil diameter ([right pupil diameter for post-sitting – left pupil diameter for post-sitting] – [right pupil diameter for pre-ISBPB – left pupil diameter for pre-ISBPB]) and CSNA (lnLF for post-sitting – lnLF for pre-ISBPB) were calculated. Results: Forty-one patients (97.6%) developed Horner’s syndrome. Right pupil diameter and lnLF significantly decreased upon transition to sitting after ISBPB. In the linear regression model (R2 = 0.242, P = 0.001), a one-unit decrease (1 mm) in the extent of changes in the pupil diameter reduced the extent of changes in lnLF by 0.659 ln(ms2 /Hz) (95% CI [0.090, 1.228]). Conclusions: Pupillometry is a useful tool to measure changes in CSNA after the transition to sitting following ISBPB. © 2023, Korean Society of Anesthesiologists. All rights reserved.","Arthroscopy; Brachial plexus block; Heart rate; Linear models; Pupil; Shoul-der; Sitting position; Stellate ganglion; Sympathetic nervous system","Brachial Plexus Block; Horner Syndrome; Humans; Pupil; Sitting Position; Stellate Ganglion; ephedrine; adrenergic system; adult; arterial pressure; arthroscopy; Article; blood pressure; brachial plexus anesthesia; cardiac sympathetic nervous activity; clinical article; clinical practice; cold sweat; diastolic blood pressure; dizziness; electrocardiogram; experimental design; female; heart rate; heart rate variability; hemodynamics; Horner syndrome; human; linear regression analysis; male; middle aged; monitoring; nausea; observational study; plethysmography; pulse oximetry; pupil diameter; pupillometry; sample size; shoulder surgery; sitting; spectroscopy; statistical model; stellate ganglion; stellate ganglion block; sympathetic nerve; systolic blood pressure; vomiting; adverse event; Horner syndrome; pupil","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85152155327"
"Arabidarrehdor G.; Kao Y.-M.; Oliver M.A.; Parajuli B.; Carney B.C.; Keyloun J.W.; Moffatt L.T.; Shupp J.W.; Hahn J.-O.; Burmeister D.M.","Arabidarrehdor, Ghazal (57219907087); Kao, Yi-Ming (57985112100); Oliver, Mary A (57225069965); Parajuli, Babita (58252625700); Carney, Bonnie C (56011917600); Keyloun, John W (57218180488); Moffatt, Lauren T (38661633500); Shupp, Jeffrey W (35238501100); Hahn, Jin-Oh (7202494227); Burmeister, David M (56688445600)","57219907087; 57985112100; 57225069965; 58252625700; 56011917600; 57218180488; 38661633500; 35238501100; 7202494227; 56688445600","The Potential of Arterial Pulse Wave Analysis in Burn Resuscitation: A Pilot in Vivo Study","2023","Journal of Burn Care and Research","44","3","","599","609","10","2","10.1093/jbcr/irac097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159543608&doi=10.1093%2fjbcr%2firac097&partnerID=40&md5=9921dc4557946b22be75753ae712d615","While urinary output (UOP) remains the primary endpoint for titration of intravenous fluid resuscitation, it is an insufficient indicator of fluid responsiveness. Although advanced hemodynamic monitoring (including arterial pulse wave analysis [PWA]) is of recent interest, the validity of PWA-derived indices in burn resuscitation extremes has not been established. The goal of this paper is to test the hypothesis that PWA-derived cardiac output (CO) and stroke volume (SV) indices as well as pulse pressure variation (PPV) and systolic pressure variation (SPV) can play a complementary role to UOP in burn resuscitation. Swine were instrumented with a Swan-Ganz catheter for reference CO and underwent a 40% TBSA burns with varying resuscitation paradigms, and were monitored for 24 hours in an ICU setting under mechanical ventilation. The longitudinal changes in PWA-derived indices were investigated, and resuscitation adequacy was compared as determined by UOP vs PWA indices. The results indicated that PWA-derived indices exhibited trends consistent with reference CO and SV measurements: CO and SV indices were proportional to reference CO and SV, respectively (CO: postcalibration limits of agreement [LoA] = ±24.7 [ml/min/kg], SV: postcalibration LoA = ±0.30 [ml/kg]) while PPV and SPV were inversely proportional to reference SV (PPV: postcalibration LoA = ±0.32 [ml/kg], SPV: postcalibration LoA = ±0.31 [ml/kg]). The results also indicated that PWA-derived indices exhibited notable discrepancies from UOP in determining adequate burn resuscitation. Hence, it was concluded that the PWA-derived indices may have complementary value to UOP in assessing and guiding burn resuscitation. © 2022 Published by Oxford University Press on behalf of the American Burn Association.","","Animals; Arteries; Blood Pressure; Burns; Fluid Therapy; Hemodynamics; Pulse Wave Analysis; Respiration, Artificial; Resuscitation; Swine; fentanyl; ketamine; propofol; Ringer lactate solution; sulfadiazine silver; vecuronium; xylazine; animal experiment; animal model; Article; artificial ventilation; blood pressure variability; burn; controlled study; fluid resuscitation; heart output; heart stroke volume; in vivo study; nonhuman; pulse pressure; pulse wave; systolic blood pressure; urine volume; animal; artery; blood pressure; burn; fluid therapy; hemodynamics; pig; procedures; pulse wave; resuscitation","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85159543608"
